count,timestamp_local,timestamp_unix,Time [sec],module_address,PIR sensor 00 (center) [V],PIR sensor 01 (tv) [V],PIR sensor 02 (kitchen) [V],PIR sensor 03 (closet) [V],PIR sensor 04 (sofa) [V]
4377,2026-06-23 17:23:38.542,1782203018.542073,178.1354923248291,192.168.11.5,1.3083027601242065,1.1636141538619995,1.1648352146148682,0.5976800918579102,0.7863247990608215
4378,2026-06-23 17:23:38.569,1782203018.569354,178.16277408599854,192.168.11.5,1.1007325649261475,1.100122094154358,1.0396825075149536,0.6074481010437012,0.9004883766174316
4379,2026-06-23 17:23:38.602,1782203018.602089,178.1955087184906,192.168.11.5,0.8034188151359558,1.0,0.8876678943634033,0.5555555820465088,1.0616605281829834
4380,2026-06-23 17:23:38.660,1782203018.660115,178.25353479385376,192.168.11.5,0.4065934121608734,0.9059829115867615,0.7289377450942993,0.4664224684238434,1.249084234237671
4381,2026-06-23 17:23:38.682,1782203018.682966,178.27638602256775,192.168.11.5,0.09951160103082657,0.8754578828811646,0.5909646153450012,0.4096459150314331,1.4383394718170166
4382,2026-06-23 17:23:38.715,1782203018.715533,178.30895256996155,192.168.11.5,0.0024420025292783976,0.9450549483299255,0.5018315315246582,0.3986569046974182,1.5818071365356445
4383,2026-06-23 17:23:38.780,1782203018.7804,178.3738193511963,192.168.11.5,0.0024420025292783976,1.0811965465545654,0.48840048909187317,0.46459096670150757,1.7081806659698486
4384,2026-06-23 17:23:38.809,1782203018.809751,178.40317058563232,192.168.11.5,0.0024420025292783976,1.2673993110656738,0.5372405648231506,0.6465201377868652,1.802197813987732
4385,2026-06-23 17:23:38.859,1782203018.859334,178.45275354385376,192.168.11.5,0.0024420025292783976,1.4700855016708374,0.6098901033401489,0.9249083995819092,1.907814383506775
4386,2026-06-23 17:23:38.892,1782203018.892361,178.4857804775238,192.168.11.5,0.27106228470802307,1.6526252031326294,0.6544566750526428,1.2905982732772827,2.01037859916687
4387,2026-06-23 17:23:38.971,1782203018.971857,178.56527614593506,192.168.11.5,0.6404151320457458,1.745421290397644,0.6514041423797607,1.7387057542800903,2.084859609603882
4388,2026-06-23 17:23:38.971,1782203018.971857,178.56527614593506,192.168.11.5,1.015262484550476,1.7722833156585693,0.5909646153450012,2.0702075958251953,2.096459150314331
4389,2026-06-23 17:23:39.010,1782203019.010202,178.60362148284912,192.168.11.5,1.345543384552002,1.7460317611694336,0.5146520137786865,2.1880342960357666,1.9975579977035522
4390,2026-06-23 17:23:39.070,1782203019.070315,178.6637351512909,192.168.11.5,1.615995168685913,1.6990232467651367,0.470085471868515,2.1892552375793457,1.7692307233810425
4391,2026-06-23 17:23:39.089,1782203019.08977,178.68318939208984,192.168.11.5,1.8101342916488647,1.6678876876831055,0.5280830264091492,2.180708169937134,1.4346764087677002
4392,2026-06-23 17:23:39.129,1782203019.129496,178.72291588783264,192.168.11.5,1.9291819334030151,1.6862026453018188,0.7136752009391785,1.9304028749465942,1.0
4393,2026-06-23 17:23:39.170,1782203019.170336,178.76375579833984,192.168.11.5,1.95665442943573,1.7704517841339111,1.029304027557373,1.6275945901870728,0.6697191596031189
4394,2026-06-23 17:23:39.216,1782203019.21689,178.8103096485138,192.168.11.5,1.9059828519821167,1.890109896659851,1.4279608726501465,1.3205127716064453,0.37057387828826904
4395,2026-06-23 17:23:39.276,1782203019.276005,178.86942434310913,192.168.11.5,1.8015873432159424,2.036630153656006,1.8809523582458496,1.0641025304794312,0.190476194024086
4396,2026-06-23 17:23:39.280,1782203019.28033,178.87374997138977,192.168.11.5,1.6507936716079712,2.116605520248413,2.193528652191162,0.8626373410224915,0.17704518139362335
4397,2026-06-23 17:23:39.317,1782203019.317457,178.91087675094604,192.168.11.5,1.4676434993743896,2.0634920597076416,2.1953601837158203,0.7582417726516724,0.3034188151359558
4398,2026-06-23 17:23:39.378,1782203019.378868,178.9722876548767,192.168.11.5,1.2698413133621216,1.9713064432144165,2.192918300628662,0.7191697359085083,0.5445665717124939
4399,2026-06-23 17:23:39.416,1782203019.416795,179.0102140903473,192.168.11.5,1.072649598121643,1.8669108152389526,2.192918300628662,0.7313797473907471,0.8473748564720154
4400,2026-06-23 17:23:39.445,1782203019.44596,179.03938007354736,192.168.11.5,0.8907203674316406,1.667277216911316,2.192918300628662,0.7863247990608215,1.1398046016693115
4401,2026-06-23 17:23:39.493,1782203019.493695,179.08518719673157,192.168.11.5,0.7533577680587769,1.3882783651351929,2.192307710647583,0.9059829115867615,1.3437118530273438
4402,2026-06-23 17:23:39.521,1782203019.52193,179.11534929275513,192.168.11.5,0.6874237060546875,1.0549451112747192,2.191697120666504,1.037851095199585,1.4108668565750122
4403,2026-06-23 17:23:39.576,1782203019.576942,179.17036175727844,192.168.11.5,0.7142857313156128,0.6648351550102234,2.191697120666504,1.1855921745300293,1.3278387784957886
4404,2026-06-23 17:23:39.612,1782203019.612697,179.20611691474915,192.168.11.5,0.8693528771400452,0.3473748564720154,2.1764347553253174,1.316239356994629,1.1282051801681519
4405,2026-06-23 17:23:39.643,1782203019.643235,179.2366542816162,192.168.11.5,1.1184371709823608,0.0763125792145729,2.0842490196228027,1.3852258920669556,0.8638583421707153
4406,2026-06-23 17:23:39.685,1782203019.68506,179.27848029136658,192.168.11.5,1.4456654787063599,0.005494505632668734,1.9865689277648926,1.365079402923584,0.6025640964508057
4407,2026-06-23 17:23:39.717,1782203019.717838,179.3112576007843,192.168.11.5,1.7857142686843872,0.004273504484444857,1.8675214052200317,1.2576313018798828,0.41514042019844055
4408,2026-06-23 17:23:39.785,1782203019.785227,179.37864661216736,192.168.11.5,2.0805861949920654,0.004884005058556795,1.7460317611694336,1.0934065580368042,0.3583638668060303
4409,2026-06-23 17:23:39.810,1782203019.810704,179.40412402153015,192.168.11.5,2.1764347553253174,0.004884005058556795,1.6129425764083862,0.9224663972854614,0.46092796325683594
4410,2026-06-23 17:23:39.848,1782203019.848696,179.44211626052856,192.168.11.5,2.1764347553253174,0.004884005058556795,1.4529914855957031,0.7875458002090454,0.688034176826477
4411,2026-06-23 17:23:39.892,1782203019.892855,179.48627471923828,192.168.11.5,2.1764347553253174,0.004273504484444857,1.2374846935272217,0.7124541997909546,0.9835164546966553
4412,2026-06-23 17:23:39.930,1782203019.930538,179.5239577293396,192.168.11.5,2.1764347553253174,0.004273504484444857,1.0091575384140015,0.711843729019165,1.2912087440490723
